txn_id,account_id,amount,txn_type,txn_date,category
T280,A035,52000.00,debit,2025-12-18,wire_transfer
T281,A059,5100.00,credit,2025-12-05,business_revenue
T282,A064,105000.00,credit,2025-12-09,dividend
T283,A068,500000.00,credit,2025-12-02,interest
T284,A062,4000.00,credit,2025-12-28,deposit
T285,A067,6100.00,credit,2025-12-30,deposit
T286,A001,3500.00,credit,2026-01-05,salary
T287,A004,2800.00,credit,2026-01-07,salary
T288,A009,2500.00,credit,2026-01-08,salary
T289,A022,1600000.00,credit,2026-01-10,institutional_transfer
T290,A040,1400000.00,debit,2026-01-17,settlement
T291,A051,3200.00,credit,2026-01-06,salary
T292,A057,61000.00,credit,2026-01-14,business_revenue
T293,A063,9500000.00,credit,2026-01-08,institutional_transfer
T294,A065,250000.00,credit,2026-01-02,interest
T295,A066,2800.00,credit,2026-01-07,salary
T296,A001,3500.00,credit,2026-02-05,salary
T297,A003,2800.00,credit,2026-02-06,salary
T298,A012,9500.00,credit,2026-02-10,deposit
T299,A026,2800000.00,debit,2026-02-13,settlement
T300,A035,48000.00,debit,2026-02-17,wire_transfer
T301,A059,5100.00,credit,2026-02-05,business_revenue
T302,A064,110000.00,credit,2026-02-09,dividend
T303,A068,500000.00,credit,2026-02-03,interest
T304,A062,3500.00,credit,2026-02-24,deposit
T305,A067,5800.00,credit,2026-02-27,deposit
T306,A001,3500.00,credit,2026-03-05,salary
T307,A004,2800.00,credit,2026-03-06,salary
T308,A051,3200.00,credit,2026-03-07,salary
T309,A057,58000.00,credit,2026-03-10,business_revenue
T310,A063,8200000.00,credit,2026-03-04,institutional_transfer
